job-title,company,locations,edited_job-title,edited_company,edited_locations,years_of_experience,job_description,job_type
Sr Project Lead-EA Technical,Birlasoft Limited,Hyderabad,Sr-Project-Lead-EA-Technical,Birlasoft-Limited,Hyderabad,7-11 Years,"Long DescriptionBASIC QUALIFICATIONSMUST HAVE (Minimum Qualifications)Bachelor s degree (or equivalent) and 4+ years of experience or Advanced Degree with minimum of 2 years in Computer Science, Data Science, Business Analytics, or related field.4+ years of experience in RPA developmentStrong problem-solving and analytical abilities, with a keen eye for detail and accuracy. Analyze complex process scenarios and offer innovative solutions.Effectively communicate technical findings and process insights to non-technical stakeholders, and cross-functional teams.Proven ability to work independently, manage multiple projects simultaneously, and deliver high quality results within defined timelines.DESIRED/PREFERRED QUALIFICATIONSNICE TO HAVE (Preferred Qualifications)Strongly Preferred:o Extensive hands-on experience using Automation Anywhere as automation software, with a proven track record of successful implementation projects.Previous experience in the Med Tech industry.Continuous learner with a passion for exploring new technologies and process optimization methodologies.Experience working with databases like MS SQL Server and technologies like SAP, PowerBI, etc..KEY SKILLS/SEARCH TERMS - EIGHTFOLD CALIBRATION1. RPA Development2. Robotic Process Automation3. RPA Developer4. Automation5. Automation Anywhere6. Architecture7. Solution Design8. Problem solving skills9. Analytical10. Power BI11. Amazon Web Services (AWS)12. Databases13. MS SQL Server14. SAP15. Communication16. Pro-Active17. Fluent EnglishEssential job tasksBASIC QUALIFICATIONSMUST HAVE (Minimum Qualifications)Bachelor s degree (or equivalent) and 4+ years of experience or Advanced Degree with minimum of 2 years in Computer Science, Data Science, Business Analytics, or related field.4+ years of experience in RPA developmentStrong problem-solving and analytical abilities, with a keen eye for detail and accuracy. Analyze complex process scenarios and offer innovative solutions.Effectively communicate technical findings and process insights to non-technical stakeholders, and cross-functional teams.Proven ability to work independently, manage multiple projects simultaneously, and deliver high quality results within defined timelines.DESIRED/PREFERRED QUALIFICATIONSNICE TO HAVE (Preferred Qualifications)Strongly Preferred:o Extensive hands-on experience using Automation Anywhere as automation software, with a proven track record of successful implementation projects.Previous experience in the Med Tech industry.Continuous learner with a passion for exploring new technologies and process optimization methodologies.Experience working with databases like MS SQL Server and technologies like SAP, PowerBI, etc..",Permanent Job
Servicedesk Support,Birlasoft Limited,"Navi Mumbai, Noida, Pune",Servicedesk-Support,Birlasoft-Limited,Navi-Mumbai-Noida-Pune,3-7 Years,"1.Excellent verbal and written English communication skills preferably supporting US/UK based customers2.Provide remote support with good technical troubleshooting skills3.Provide first level contact and convey resolutions to customer issues4.Properly escalate unresolved queries to the next level of support5.Track, route and redirect problems to correct resources6.Follow the ITIL process for logging tickets7.Walk customers through problem solving process8.Follow up with customers, provide feedback and see problems through to resolution9.Utilize excellent customer service skills and exceed customers expectations10.Ensure proper recording, documentation and closure11.Should have an understanding of AD, O365, Outlook related issues, Shared mail-box and Distribution lists12.Should have hands on experience on Share drives, File shares, Printer issues, VPN issues, AD account lockout issues and installation of software13.Mumbai based preferred14.Voice based technical support experience required for 2-3 years",Permanent Job
Lead Consultant - Enterprise Apps,Birlasoft Limited,Pune,Lead-Consultant-Enterprise-Apps,Birlasoft-Limited,Pune,5-7 Years,"DescriptionWe are looking for a highly experienced and motivated Lead Consultant - Enterprise Apps to join our team. The successful candidate will be responsible for leading a team of consultants in the design, development, and implementation of enterprise-level applications. The role requires a deep understanding of enterprise application architecture and development, as well as strong leadership and communication skills.ResponsibilitiesLead a team of consultants in the design, development, and implementation of enterprise-level applicationsCollaborate with clients and other stakeholders to identify business requirements and develop solutions that meet their needsDevelop and maintain technical documentation for applications and systemsProvide guidance and mentorship to team membersStay up-to-date with emerging trends and technologies in enterprise application developmentSkills and Qualifications5-7 years of experience in enterprise application development and architectureBachelor's or Master's degree in Computer Science, Software Engineering, or related fieldStrong experience with Java/J2EE, .NET, or other enterprise application development platformsExperience with enterprise application integration using APIs, web services, and messaging technologiesExperience with cloud-based enterprise application development and deploymentStrong leadership and communication skillsAbility to work effectively in a team environmentAbility to manage multiple projects and priorities simultaneouslyExperience in Agile development methodologies",Permanent Job
Hiring SAP BW on Hana ll India,HCL Technologies Limited,"Hyderabad, Bengaluru, Chennai",Hiring-SAP-BW-on-Hana-ll-India,HCL-Technologies-Limited,Hyderabad-Bengaluru-Chennai,8-13 Years,"DescriptionWe are seeking a highly skilled SAP BW on Hana professional to join our team in India. The ideal candidate should have a minimum of 8-13 years of experience in SAP BW on Hana and have a strong understanding of the job market in India. The candidate should be able to work independently and as part of a team, and should have excellent communication and problem-solving skills.ResponsibilitiesDesign, develop and implement SAP BW on Hana solutions to support business requirementsCreate and maintain technical documentation, including data models, data flow diagrams, and system design documentsCollaborate with cross-functional teams to ensure seamless integration of SAP BW on Hana solutions with other systemsPerform data analysis and troubleshooting to ensure data accuracy and integrityProvide technical guidance and mentorship to junior team membersSkills and QualificationsBachelor's or Master's degree in Computer Science, Information Technology, or a related field8-13 years of experience in SAP BW on HanaExperience with SAP Hana modeling and data provisioningExpertise in SAP BW data modeling, extraction, and transformationStrong understanding of SAP BW architecture and performance optimizationExperience with SAP BW on Hana migration and upgrade projectsExcellent communication and problem-solving skillsAbility to work independently and as part of a team",Permanent Job
Immediate hiring For Automation Anywhere Developer,HCL Technologies Limited,Pune,Immediate-hiring-For-Automation-Anywhere-Developer,HCL-Technologies-Limited,Pune,5-10 Years,"Job description:Analyze and Understand ProcessesCollaborate with business analysts and stakeholders to understand and document business processesDesign and develop RPA solutions using tools like Automation Anywhere, AA 360, IQBot.Create workflows, automation scripts, and process mapsDevelop, configure, and optimize bots to automate repetitive tasks and streamline business processes.Integrate RPA solutions with existing systems, applications, and databasesConduct thorough testing of developed bots to ensure accuracy and efficiencyDocument processes, design decisions, and configurations for future reference and knowledge sharing",Permanent Job
Hiring SAP ABAP on Hana ll India,HCL Technologies Limited,"Hyderabad, Chennai, Bengaluru",Hiring-SAP-ABAP-on-Hana-ll-India,HCL-Technologies-Limited,Hyderabad-Chennai-Bengaluru,8-13 Years,"DescriptionWe are seeking an experienced SAP ABAP on Hana professional to join our team in India. The ideal candidate should have 8-13 years of relevant experience in the Indian job market.ResponsibilitiesDesign, develop, and maintain SAP ABAP on Hana applicationsPerform code reviews and ensure compliance with coding standardsCollaborate with functional teams to gather requirements and design solutionsProvide technical support and troubleshooting assistance to end-usersConduct unit testing and system integration testingDocument technical designs, configurations, and processesStay up-to-date with the latest SAP ABAP on Hana technologies and trendsSkills and QualificationsBachelor's degree in Computer Science, Information Technology, or a related field8-13 years of experience in SAP ABAP on Hana developmentStrong knowledge of ABAP programming languageExperience with Hana database technologiesExpertise in SAP development methodologies and best practicesAbility to work independently and in a team environmentExcellent communication and interpersonal skillsStrong problem-solving and analytical skillsExperience with Agile development methodologies is a plus",Permanent Job
Splunk Developer,HCL Technologies Limited,"Bengaluru, Chennai",Splunk-Developer,HCL-Technologies-Limited,Bengaluru-Chennai,6-10 Years,"DescriptionWe are seeking an experienced Splunk Developer to join our team in India. The ideal candidate will have 6-10 years of experience in developing, implementing, and maintaining Splunk solutions for large-scale enterprise environments. The candidate should also possess strong technical skills and a deep understanding of Splunk architecture, as well as excellent communication and problem-solving abilities.ResponsibilitiesDesign, develop, and implement Splunk solutions for large-scale enterprise environmentsCollaborate with cross-functional teams to integrate Splunk with other systems and applicationsCreate and maintain technical documentation of Splunk solutions and processesIdentify and troubleshoot issues with Splunk deploymentsProvide guidance and mentorship to junior team membersSkills and QualificationsBachelor's or Master's degree in Computer Science, Information Technology, or related field6-10 years of experience in developing, implementing, and maintaining Splunk solutions for large-scale enterprise environmentsExpertise in Splunk architecture, including indexing, search, and data visualizationExperience with Splunk Enterprise Security and ITSIStrong programming skills in Python, Java, or other relevant languagesExcellent communication and problem-solving abilitiesAbility to work independently and collaboratively with cross-functional teamsCertifications in Splunk Enterprise Administration and/or Splunk Certified Developer are preferred",Permanent Job
Sap Mdm Consultant,HCL Technologies Limited,Bengaluru,Sap-Mdm-Consultant,HCL-Technologies-Limited,Bengaluru,10-12 Years,DescriptionWe are seeking a highly skilled SAP MDM Consultant with 10-12 years of experience to join our team. The ideal candidate will have a deep understanding of SAP MDM technology and be able to provide expert guidance to our clients. This is a challenging and rewarding opportunity for someone who is passionate about SAP MDM and enjoys working in a dynamic team environment.ResponsibilitiesDesign and implement SAP MDM solutions to meet client requirementsProvide expert guidance to clients on SAP MDM technology and best practicesCollaborate with cross-functional teams to deliver successful projectsLead project teams and manage project timelines and budgetsDevelop and maintain strong relationships with clients and stakeholdersProvide training and support to end-usersSkills and Qualifications10-12 years of experience in SAP MDM consultingIn-depth knowledge of SAP MDM technology and best practicesHands-on experience with SAP MDM implementationsStrong project management skillsExcellent communication and interpersonal skillsAbility to work independently and in a team environmentBachelor's or Master's degree in Computer Science or related field,Permanent Job
Voltmx developer,HCL Technologies Limited,"Hyderabad, Bengaluru, Pune",Voltmx-developer,HCL-Technologies-Limited,Hyderabad-Bengaluru-Pune,5-10 Years,"DescriptionWe are seeking a highly skilled Voltmx developer with 5-10 years of experience to join our team in India. The ideal candidate will have a deep understanding of Voltmx architecture and design principles, as well as extensive experience working with the Voltmx platform.ResponsibilitiesDesign, develop, and maintain Voltmx applications and servicesCollaborate with cross-functional teams to identify and prioritize featuresWrite clean, efficient, and maintainable codeTroubleshoot and debug Voltmx applicationsEnsure the scalability and reliability of Voltmx applicationsParticipate in code reviews and provide constructive feedbackStay up-to-date with emerging trends and technologies in Voltmx developmentSkills and Qualifications5-10 years of experience developing Voltmx applicationsStrong knowledge of Voltmx architecture and design principlesProficiency in Voltmx development tools and frameworksExperience with Voltmx integration and customizationExpertise in Voltmx deployment and scalingSolid understanding of RESTful web services and API developmentExperience with database design and optimizationExcellent problem-solving and analytical skillsStrong communication and collaboration skillsBachelor's or Master's degree in Computer Science or a related field",Permanent Job
Performance Test Architect,HCL Technologies Limited,"Bengaluru, Chennai, Pune",Performance-Test-Architect,HCL-Technologies-Limited,Bengaluru-Chennai-Pune,9-14 Years,"DescriptionWe are looking for a Performance Test Architect with 9-14 years of experience in the IT industry, who is passionate about ensuring high performance of software applications. The ideal candidate will be responsible for designing and executing performance tests, analyzing results, and providing recommendations for improvement. The candidate should be able to work in a fast-paced environment, managing multiple projects and stakeholders, while maintaining a high level of quality and attention to detail.ResponsibilitiesDesign and execute performance tests using industry-standard tools and techniquesAnalyze test results and provide recommendations for improvementCollaborate with development teams to identify and resolve performance issuesProvide technical leadership and mentorship to junior team membersDevelop and maintain performance testing frameworks and methodologiesEnsure compliance with performance testing standards and best practicesParticipate in project planning and estimation activitiesStay up-to-date with industry trends and advancements in performance testingSkills and QualificationsBachelor's or Master's degree in Computer Science or related field9-14 years of experience in performance testing and engineeringStrong knowledge of performance testing tools such as LoadRunner, JMeter, and GatlingExperience with performance tuning and optimization of web and mobile applicationsExpertise in analyzing performance metrics and identifying performance bottlenecksExperience with cloud-based performance testing and monitoring toolsExcellent communication and interpersonal skillsAbility to work independently and in a team environmentGood understanding of agile software development methodologiesCertifications in performance testing and engineering is a plus",Permanent Job
Hiring SAP CPI ll India,HCL Technologies Limited,"Hyderabad, Chennai, Bengaluru",Hiring-SAP-CPI-ll-India,HCL-Technologies-Limited,Hyderabad-Chennai-Bengaluru,8-13 Years,"DescriptionWe are seeking a highly skilled and experienced SAP CPI ll professional to join our team in India. The ideal candidate will have a strong background in SAP CPI ll with 8-13 years of experience in the Indian job market. The candidate must be able to work independently and collaboratively with cross-functional teams to deliver high-quality solutions. As a SAP CPI ll professional, you will be responsible for designing, developing, testing, and deploying SAP CPI ll integrations for our clients. You will work closely with business stakeholders to understand their requirements and provide technical solutions that meet their needs. If you are a self-motivated, results-driven, and customer-oriented professional, we would love to hear from you.ResponsibilitiesDesign, develop, test, and deploy SAP CPI ll integrations for clientsWork collaboratively with cross-functional teams to deliver high-quality solutionsUnderstand business requirements and provide technical solutions that meet their needsTroubleshoot and resolve SAP CPI ll integration issuesProvide technical support to clients as neededStay up-to-date with the latest SAP CPI ll trends and technologiesSkills and Qualifications8-13 years of experience in SAP CPI ll integrationBachelor's or Master's degree in Computer Science, Engineering, or related fieldStrong understanding of integration concepts such as web services, APIs, SOAP, and RESTHands-on experience in SAP Cloud Platform Integration (CPI) and SAP Process Orchestration (PO)Experience in SAP Cloud Connector and SAP API ManagementProficient in Java, Groovy, and XMLExcellent communication and interpersonal skillsAbility to work independently and as part of a teamStrong problem-solving and analytical skillsAbility to manage multiple tasks and priorities in a fast-paced environment",Permanent Job
C Developer,HCL Technologies Limited,Vijayawada,C-Developer,HCL-Technologies-Limited,Vijayawada,4-9 Years,"Job Description:Primary Skill Set: C, Linux, NetworkingShould have strong development and debugging skill on C and Linux.Should have experience in Networking concepts like TCP, VPN, SIP, Network Security etcTo work on development, bug fixing and sustaining for Firewall product.Exposure to Networking Security, firewall, IPS, IDS is preferred.",Permanent Job
Automation Test Lead,HCL Technologies Limited,Nagpur,Automation-Test-Lead,HCL-Technologies-Limited,Nagpur,5-9 Years,"DescriptionWe are seeking an experienced Automation Test Lead to join our team. The successful candidate will be responsible for leading a team of automation testers and ensuring the quality of our software products. This is a full-time position based in India.ResponsibilitiesLead and manage a team of automation testersDevelop and implement automation test strategies, test plans, and test casesDesign, develop, and maintain automation frameworks and scriptsCollaborate with cross-functional teams to identify and resolve defects and issuesManage testing schedules and ensure timely delivery of test resultsProvide regular reports and updates to stakeholders on testing progress and resultsContinuously improve the automation testing process and toolsSkills and QualificationsBachelor's or Master's degree in Computer Science or a related field5-9 years of experience in automation testing, with at least 3 years in a leadership roleExperience with automation testing tools such as Selenium, Appium, and JMeterExperience with programming languages such as Java, Python, or C#Strong understanding of software testing methodologies and best practicesExcellent leadership and communication skillsAbility to work effectively in a fast-paced, collaborative environmentExperience working in an Agile/Scrum environmentISTQB certification is a plus",Permanent Job
Sap Mdm Consultant,HCL Technologies Limited,Bengaluru,Sap-Mdm-Consultant,HCL-Technologies-Limited,Bengaluru,10-12 Years,"DescriptionWe are seeking a highly skilled SAP MDM Consultant to join our team. The ideal candidate will have extensive experience in SAP Master Data Management (MDM) and be able to provide technical expertise to our clients in India. The candidate should have excellent communication skills, be able to work independently and as part of a team, and be willing to travel for work.ResponsibilitiesDesign and implement SAP MDM solutions for clients in IndiaProvide technical expertise in SAP MDM to clients and team membersAssist in the development of project plans and timelinesCollaborate with cross-functional teams to ensure successful project implementationTroubleshoot and resolve issues related to SAP MDMProvide training and support to end-usersSkills and QualificationsBachelor's degree in Computer Science, Information Systems, or related field10-12 years of experience in SAP Master Data Management (MDM)Experience with SAP MDM modules such as SAP MDG, SAP MDC, and SAP MDM ConsoleExpertise in SAP MDM configuration and customizationStrong knowledge of SAP MDM best practices and methodologiesExcellent communication and interpersonal skillsAbility to work independently and as part of a teamWillingness to travel for work",Permanent Job
MySQL or Postgres DBA,Tata Consultancy Services Limited,Hyderabad,MySQL-or-Postgres-DBA,Tata-Consultancy-Services-Limited,Hyderabad,8-12 Years,"Job description1 As an individual contributor, will be involved with Development and Operations of a framework that caters to automating Mongo DB / OpenSearch admin activities2 Develop automation scripts in Linux Shell scripting with 4+ years of experience and DevOps tools to design, develop and deploy automation code such as Ansible, Puppet, GIT, ARM, Gerrit, Jenkins3 Debug shell scripts and resolve issues if any.4 Write queries for Prometheus monitoring tool using PromQL and also creating Grafana dash boards5 Team up with other teams to ensure smooth project deployment6 Good analytical and programming skills7 Good team player, multi-tasker, proactive8 Good communication",Permanent Job
SAP Successfactor Compensation,Tata Consultancy Services Limited,"Hyderabad, Bengaluru",SAP-Successfactor-Compensation,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru,5-10 Years,"Job descriptionSF Core Compensation Module and Variable pay, atleast 3 years plus in the mentioned fields plus End-to-End implementation experienceDesired Competencies (Technical/Behavioral Competency)Must-HaveClient engagement and listeningCoaching and trainingCommunication ability across multiple and different teamsDeep understanding of LOB business processesGood-to-HaveSAU Government experienceResponsibility of / Expectations from the RoleObtain the needed certification in SF Compensation and Variable payObtain the senior level knowledge in the mentioned fieldApply the SAP best practice along with sap Activate methodologies in the implementationImplement any needed custom solution or business configurationProvide the needed training for the customer in Arabic languageManaging and monitoring, escalating the project related issues",Permanent Job
Senior Network -Aruba ClearPass Engineer,Tata Consultancy Services Limited,Hyderabad,Senior-Network-Aruba-ClearPass-Engineer,Tata-Consultancy-Services-Limited,Hyderabad,8-13 Years,Job descriptionMust Have1. Aruba ClearPass Network access control2. Aruba Central3. Network Routing and Switching - Aruba4. Network Wireless - ArubaL3 support for Aruba ClearpassHandle complex issues and involve in design related discussions with Customer on Aruba,Permanent Job
SAP Ariba Consultant,Tata Consultancy Services Limited,"Hyderabad, Bengaluru, Chennai",SAP-Ariba-Consultant,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru-Chennai,5-10 Years,"Job descriptionWork with other data scientists and work cross functionally with product managers and other engineering teams to deliver predictive models from concept to productCreate predictive models for various business process like payment risk, relationship discovery, catalog optimizationDesign and develop the features assigned to achieve the Milestone goals (Sprints)You will be member of the core Ariba Cloud Engineeering TeamCoordination in cross-functional team and with other geographically distributed engeneering teamsManages internal and external resources to optimize client impact within project budget, timeline, supplier onboarding and other deliverablesManages customer and internal team members expectations to optimize productivity and increase impact of solutions",Permanent Job
Mongo or OpenSearch DBA,Tata Consultancy Services Limited,Hyderabad,Mongo-or-OpenSearch-DBA,Tata-Consultancy-Services-Limited,Hyderabad,8-12 Years,"DescriptionWe are looking for a highly skilled Mongo or OpenSearch DBA to join our team. The ideal candidate will have 8-12 years of experience and possess the necessary hard skills to manage and maintain our databases.ResponsibilitiesDesign, install, configure and maintain Mongo or OpenSearch databasesEnsure the databases are secure, highly available and performantMonitor database performance and provide recommendations for improvementManage backups and disaster recovery processesCollaborate with development teams to optimize database performance for applicationsTroubleshoot and resolve database-related issuesImplement and maintain database security policies and proceduresCreate and maintain documentation related to database architecture and processesStay up-to-date with emerging database technologies and trendsSkills and Qualifications8-12 years of experience as a Mongo or OpenSearch DBABachelor's or Master's degree in Computer Science, Information Technology or related fieldStrong understanding of database architecture and design principlesExperience with database installation, configuration and maintenanceExperience with database security and disaster recoveryExperience with performance tuning and optimizationExcellent troubleshooting skillsStrong communication and collaboration skillsAbility to work independently and in a team environmentCertifications in Mongo or OpenSearch are preferred",Permanent Job
Cognos Developer,Wipro Limited,Bengaluru,Cognos-Developer,Wipro-Limited,Bengaluru,6-8 Years,Criteria:Hands on Experience on Cognos reporting toolHands on Experience on Tableau reporting toolExposure in SQLGood Communication skillsGood Presentation skillsExperience Range: 6 to 8 yearsLocation: Bangalore,Permanent Job
Full Stack Engineer,Wipro Limited,Bengaluru,Full-Stack-Engineer,Wipro-Limited,Bengaluru,11-16 Years,"Details:Develop front-end and back-end components for web applications using JavaScript, React, Node.js, and Python/Java.Ensure system performance, scalability, and security.Collaborate with UI/UX designers to implement responsive designs.Write clean, maintainable code and conduct code reviews.Notice Period: 30 days-40 days",Permanent Job
Application Architecture,Wipro Limited,Cochin / Kochi / Ernakulam,Application-Architecture,Wipro-Limited,Cochin-Kochi-Ernakulam,3-8 Years,"The role involves creating exceptional architectural application designs, providing thought leadership, and enabling delivery teams to enhance client satisfaction through innovative and scalable solutions.Key ResponsibilitiesArchitectural Design and StrategyDevelop enterprise-wide application architectures ensuring scalability, reliability, and agility.Create solutions for new deals, change requests, and RFPs while ensuring design assurance.Guide the use of modern paradigms like microservices, SOA, and mesh architecture to enable faster time-to-market.Lead cloud transformation initiatives, including migration and modernization, ensuring alignment with target architecture and business needs.Stay updated on emerging technologies like IoT, blockchain, ML, and automation, integrating them into solutions.Delivery EnablementProvide technical leadership in solution design, ensuring alignment with enterprise frameworks.Support delivery teams with optimal frameworks, reusable patterns, and technical guidance.Perform design and code reviews while addressing security, scalability, and performance considerations.Foster seamless integration of new and existing systems to deliver value and maintain data integrity.Manage multiple projects, mitigate risks, and ensure adherence to quality standards and KPIs.Client EngagementCollaborate with pre-sales and delivery teams to present and negotiate solution designs with clients.Act as a trusted advisor by demonstrating thought leadership and technical expertise.Build strong client relationships to drive engagement and ensure requirements are met effectively.Competency Building and BrandingCreate Proof of Concepts (POCs), case studies, and demos to explore growth areas and establish thought leadership.Contribute to market recognition through white papers, blogs, analyst rankings, and client testimonials.Mentor and train team members, enhancing their skills and career progression.Team ManagementAnticipate talent needs, hire and onboard the right resources, and drive diversity in leadership roles.Set goals, conduct performance reviews, and provide feedback to foster growth and retain talent.Lead engagement initiatives to improve team satisfaction and manage attrition effectively.Key Focus AreasInnovation and Scalability: Introduce cutting-edge technologies and frameworks to drive agility.Client-Centric Solutions: Ensure high-quality delivery that aligns with client goals.Leadership and Mentorship: Build strong teams through effective management and knowledge sharing.",Permanent Job
Cloud Solution Architect,Wipro Limited,"Mumbai City, Mumbai",Cloud-Solution-Architect,Wipro-Limited,Mumbai-City-Mumbai,6-10 Years,"Cloud Architect, you will be responsible for ensuring the scalability, reliability, and security of our cloud-based systems and applications.Key Responsibilities:Design, deploy, and manage cloud infrastructure and services on AWS or GCP or both including virtual machines, storage, networking, and security.Implement and automate infrastructure provisioning, configuration, using as Configuration Management tools such Terraform(IAC) or Ansible or (ARM) templates and PowerShell.Optimize and monitor Cloud resources to ensure performance, cost efficiency, and scalability.Implement and enforce cloud security controls and best practices, including identity and access management (IAM), encryption, and network security.Strong knowledge on Hub and Spoke Architecture.Troubleshoot and resolve issues related to Cloud infrastructure and services.Collaborate with cross-functional teams to gather requirements and define technical solutions.Stay updated on Cloud services, features, and best practices.Qualifications:Bachelor's or Master degree in Computer Science, Information Technology, or related field.Previous experience in cloud Solutions Architect/Principal Architect or related roles.Strong understanding of Microsoft AWS/GCP cloud services and architecture.Proficiency in scripting and automation using languages such as PowerShell, Python, or BashExperience with infrastructure-as-code (IaC) and Ansible.Familiarity with containerization and orchestration technologies such as Docker and Kubernetes.Cloud certifications such as Google Cloud Professional or AWS Solution Architect at Professional level will be a plus.Excellent problem-solving, analytical, and communication skills",Permanent Job
Databricks Architect,Wipro Limited,Chennai,Databricks-Architect,Wipro-Limited,Chennai,10-15 Years,"Preferred candidate profileDatabricks & Snowflake experience : Must to HaveHands on experience in development of Azure cloud DWH & datalakes using Azure technologies like Spark (Scala or Python), ADF, Azure Databricks, Terraform & CI/CD.Must to HaveSolution, Design and Building data Lakehouse architecture on the cloud. Handling large volumes of data and performance tuning on Databricks.Design and develop automation to support continuous delivery and continuous integration process when it comes to cloud infrastructure.Understanding of Azure Database technologies (both IaaS and PaaS) and options to support the migration process. This will include and not limited to Azure database migration technologies and refactoring options.Good To have :Finance domain experience (Accounts Payable /Accounts Receivables/General ledger) / Oracle ERPWork closely with the Development and Operations teams to build and maintain CI/CD pipelines to support automated deployment of infrastructure (DevOps) and Infrastructure as Code (IaC) using Terraform and Enterprise Github.Build effective monitoring, logging and auditing of production systems to ensure compliance with mandated compliance policies (e.g., HIPAA).",Permanent Job
Databricks Architect,Wipro Limited,"Hyderabad, Bengaluru",Databricks-Architect,Wipro-Limited,Hyderabad-Bengaluru,10-15 Years,"Preferred candidate profileDatabricks & Snowflake experience : Must to HaveHands on experience in development of Azure cloud DWH & datalakes using Azure technologies like Spark (Scala or Python), ADF, Azure Databricks, Terraform & CI/CD.Must to HaveSolution, Design and Building data Lakehouse architecture on the cloud. Handling large volumes of data and performance tuning on Databricks.Design and develop automation to support continuous delivery and continuous integration process when it comes to cloud infrastructure.Understanding of Azure Database technologies (both IaaS and PaaS) and options to support the migration process. This will include and not limited to Azure database migration technologies and refactoring options.Good To have :Finance domain experience (Accounts Payable /Accounts Receivables/General ledger) / Oracle ERPWork closely with the Development and Operations teams to build and maintain CI/CD pipelines to support automated deployment of infrastructure (DevOps) and Infrastructure as Code (IaC) using Terraform and Enterprise Github.Build effective monitoring, logging and auditing of production systems to ensure compliance with mandated compliance policies (e.g., HIPAA).",Permanent Job
Solution Architect,Wipro Limited,Kolkata,Solution-Architect,Wipro-Limited,Kolkata,8-12 Years,"The purpose of the role is to create exceptional architectural solution design and thought leadership and enable delivery teams to provide exceptional client engagement and satisfaction.Do1.Develop architectural solutions for the new deals/ major change requests in existing dealsCreates an enterprise-wide architecture that ensures systems are scalable, reliable, and manageable.Provide solutioning of RFPs received from clients and ensure overall design assuranceDevelop a direction to manage the portfolio of to-be-solutions including systems, shared infrastructure services, applications in order to better match business outcome objectivesAnalyse technology environment, enterprise specifics, client requirements to set a collaboration solution design framework/ architectureProvide technical leadership to the design, development and implementation of custom solutions through thoughtful use of modern technologyDefine and understand current state solutions and identify improvements, options & tradeoffs to define target state solutionsClearly articulate, document and sell architectural targets, recommendations and reusable patterns and accordingly propose investment roadmapsEvaluate and recommend solutions to integrate with overall technology ecosystemWorks closely with various IT groups to transition tasks, ensure performance and manage issues through to resolutionPerform detailed documentation (App view, multiple sections & views) of the architectural design and solution mentioning all the artefacts in detailValidate the solution/ prototype from technology, cost structure and customer differentiation point of viewIdentify problem areas and perform root cause analysis of architectural design and solutions and provide relevant solutions to the problemCollaborating with sales, program/project, consulting teams to reconcile solutions to architectureTracks industry and application trends and relates these to planning current and future IT needsProvides technical and strategic input during the project planning phase in the form of technical architectural designs and recommendationCollaborates with all relevant parties in order to review the objectives and constraints of solutions and determine conformance with the Enterprise ArchitectureIdentifies implementation risks and potential impacts2.Enable Delivery Teams by providing optimal delivery solutions/ frameworksBuild and maintain relationships with executives, technical leaders, product owners, peer architects and other stakeholders to become a trusted advisorDevelops and establishes relevant technical, business process and overall support metrics (KPI/SLA) to drive resultsManages multiple projects and accurately reports the status of all major assignments while adhering to all project management standardsIdentify technical, process, structural risks and prepare a risk mitigation plan for all the projectsEnsure quality assurance of all the architecture or design decisions and provides technical mitigation support to the delivery teamsRecommend tools for reuse, automation for improved productivity and reduced cycle timesLeads the development and maintenance of enterprise framework and related artefactsDevelops trust and builds effective working relationships through respectful, collaborative engagement across individual product teamsEnsures architecture principles and standards are consistently applied to all the projectsEnsure optimal Client EngagementSupport pre-sales team while presenting the entire solution design and its principles to the clientNegotiate, manage and coordinate with the client teams to ensure all requirements are met and create an impact of solution proposedDemonstrate thought leadership with strong technical capability in front of the client to win the confidence and act as a trusted advisor3.Competency Building and BrandingEnsure completion of necessary trainings and certificationsDevelop Proof of Concepts (POCs),case studies, demos etc. for new growth areas based on market and customer researchDevelop and present a point of view of Wipro on solution design and architect by writing white papers, blogs etc.Attain market referencability and recognition through highest analyst rankings, client testimonials and partner creditsBe the voice of Wipros Thought Leadership by speaking in forums (internal and external)Mentor developers, designers and Junior architects in the project for their further career development and enhancementContribute to the architecture practice by conducting selection interviews etc4.Team ManagementResourcingAnticipating new talent requirements as per the market/ industry trends or client requirementsHire adequate and right resources for the teamTalent ManagementEnsure adequate onboarding and training for the team members to enhance capability & effectivenessBuild an internal talent pool and ensure their career progression within the organizationManage team attritionDrive diversity in leadership positionsPerformance ManagementSet goals for the team, conduct timely performance reviews and provide constructive feedback to own direct reportsEnsure that the Performance Nxt is followed for the entire teamEmployee Satisfaction and EngagementLead and drive engagement initiatives for the teamTrack team satisfaction scores and identify initiatives to build engagement within the teams",Permanent Job
